Datetime;Battery Level (%);5600 Pressure (Bar);5600 Temperature (°C)
2025-01-18 19:35:13.864;100;1.294;3.9
2025-01-18 19:35:13.964;100;1.294;3.9
2025-01-18 19:35:14.064;100;1.294;3.9
2025-01-18 19:35:14.164;100;1.294;3.9
2025-01-18 19:35:14.264;100;1.294;3.9
2025-01-18 19:35:14.364;100;1.294;3.9
2025-01-18 19:35:14.464;100;1.294;3.9
2025-01-18 19:35:14.564;100;1.294;3.9
2025-01-18 19:35:14.664;100;1.294;3.9
2025-01-18 19:35:14.764;100;1.294;3.9
2025-01-18 19:35:14.864;100;1.294;3.9
2025-01-18 19:35:14.964;100;1.294;3.9
2025-01-18 19:35:15.064;100;1.294;3.9
2025-01-18 19:35:15.163;100;1.294;3.9
2025-01-18 19:35:15.264;100;1.294;3.9
2025-01-18 19:35:15.364;100;1.294;3.9
2025-01-18 19:35:15.464;100;1.294;3.9
2025-01-18 19:35:15.564;100;1.294;3.9
2025-01-18 19:35:15.664;100;1.294;3.9
2025-01-18 19:35:15.764;100;1.294;3.9
2025-01-18 19:35:15.864;100;1.294;3.9
2025-01-18 19:35:15.964;100;1.294;3.9
2025-01-18 19:35:16.064;100;1.294;3.9
2025-01-18 19:35:16.164;100;1.294;3.9
2025-01-18 19:35:16.264;100;1.294;3.9
2025-01-18 19:35:16.364;100;1.294;3.9
2025-01-18 19:35:16.464;100;1.294;3.9
2025-01-18 19:35:16.564;100;1.294;3.9
2025-01-18 19:35:16.664;100;1.294;3.9
2025-01-18 19:35:16.764;100;1.294;3.9
2025-01-18 19:35:16.864;100;1.294;3.9
2025-01-18 19:35:16.964;100;1.294;3.9
2025-01-18 19:35:17.064;100;1.294;3.9
2025-01-18 19:35:17.164;100;1.294;3.9
2025-01-18 19:35:17.264;100;1.294;3.9
2025-01-18 19:35:17.364;100;1.294;3.9
2025-01-18 19:35:17.464;100;1.294;3.9
2025-01-18 19:35:17.564;100;1.294;3.9
2025-01-18 19:35:17.664;100;1.294;3.9
2025-01-18 19:35:17.764;100;1.294;3.9
2025-01-18 19:35:17.864;100;1.294;3.9
2025-01-18 19:35:17.964;100;1.294;3.9
